Arquivo,Bubblesort,Selectionsort,Insertionsort,Shellsort,Mergesort-BottomUp,Mergesort-Híbrido,Quicksort,QuickSort Aleatorizado,Heapsort
nomes100k.txt,213854.00557518005,274177.5212287903,114091.25781059265,,,,,,
nomes100k.txt,309278.3920764923,278298.84028434753,114524.94812011719,,,,,,
nomes100k.txt,311209.8481655121,277012.1223926544,113727.64611244202,,,,,,
nomes100k.txt,309243.173122406,275521.7845439911,113168.15328598022,,,,,,
nomes100k.txt,308658.01310539246,274086.678981781,113629.85038757324,,,,,,
nomes250k.txt,1996545.8352565765,2460930.0327301025,1266355.5080890656,,,,,,
nomes250k.txt,2735437.4277591705,2436084.65385437,1268607.9363822937,,,,,,
nomes250k.txt,2732777.8828144073,2433665.4102802277,1264205.9299945831,,,,,,
nomes250k.txt,2747063.1330013275,2429587.3486995697,1267194.0956115723,,,,,,
nomes250k.txt,2736726.902961731,2426670.742034912,1266062.4709129333,,,,,,
nomes500k.txt,8792595.908164978,8768010.431528091,5904748.065233231,,,,,,
nomes500k.txt,10841835.199832916,8863775.33364296,5898232.473611832,,,,,,
nomes500k.txt,10127344.58231926,8834512.77422905,5901284.661743164,,,,,,
nomes500k.txt,9421887.347698212,8799044.183731079,5896721.554756165,,,,,,
nomes500k.txt,10603492.918441772,8851023.667812347,5908429.118156433,,,,,,
nomes1m.txt,58846674.681186676,15765395.329475403,19720767.54593849,,,,,,
